Date,Precip
5/16/2023,0
5/18/2023,0
5/23/2023,0.3
5/25/2023,0.01
5/30/2023,0
6/1/2023,0
6/6/2023,0.01
6/8/2023,0.04
6/13/2023,5
6/15/2023,13
